ID,URL,Repo Name,Collection,MD Contents,C++ Contents,Python Contents
REPO_C0,https://github.com/redbirdrobotics/ros_redbird_m7a,ros_redbird_m7a,Repositories,{'message': 'no data'},{'message': 'no data'},
REPO_C1,https://github.com/robotics-in-concert/rocon_multimaster,rocon_multimaster,Repositories,{'message': 'no data'},{'message': 'no data'},
REPO_C2,https://github.com/PR2/pr2_navigation,pr2_navigation,Repositories,{'message': 'no data'},{'message': 'no data'},
REPO_C3,https://github.com/markusk/minibot,minibot,Repositories,{'message': 'no data'},{'message': 'no data'},
REPO_C4,https://github.com/spencer-project/spencer_people_tracking,spencer_people_tracking,Repositories,{'message': 'no data'},{'message': 'no data'},
REPO_C5,https://github.com/MalcolmMielle/Auto-Complete-Graph,Auto-Complete-Graph,Repositories,{'message': 'no data'},{'message': 'no data'},
REPO_C6,https://github.com/Bichette09/imaginarium,imaginarium,Repositories,{'message': 'no data'},{'message': 'no data'},
REPO_C7,https://bitbucket.org/udg_cirs/cola2_core,cola2_core,Repositories,{'message': 'no data'},{'message': 'no data'},
REPO_C8,https://github.com/fkie/multimaster_fkie,multimaster_fkie,Repositories,{'message': 'no data'},{'message': 'no data'},
REPO_C9,https://github.com/start-jsk/rtmros_common,rtmros_common,Repositories,{'message': 'no data'},{'message': 'no data'},
REPO_C10,https://github.com/tum-phoenix/phx_quadrocopter_ros,phx_quadrocopter_ros,Repositories,{'message': 'no data'},{'message': 'no data'},
REPO_C11,https://bitbucket.org/guiche/rosebot_description,rosebot_description,Repositories,{'message': 'no data'},{'message': 'no data'},
REPO_C12,https://github.com/fetchrobotics/fetch_robots,fetch_robots,Repositories,{'message': 'no data'},{'message': 'no data'},
REPO_C13,https://github.com/ros-interactive-manipulation/pr2_object_manipulation,pr2_object_manipulation,Repositories,{'message': 'no data'},{'message': 'no data'},
REPO_C14,https://github.com/leonard-lab/dcslROS,dcslROS,Repositories,{'message': 'no data'},{'message': 'no data'},
REPO_C15,https://github.com/uf-mil-archive/PropaGator,PropaGator,Repositories,{'message': 'no data'},{'message': 'no data'},
REPO_C16,https://github.com/ipa320/cob_command_tools,cob_command_tools,Repositories,{'message': 'no data'},{'message': 'no data'},
REPO_C17,https://github.com/super-owesome/bobble_controllers,bobble_controllers,Repositories,{'message': 'no data'},{'message': 'no data'},
REPO_C18,https://bitbucket.org/mitchell_scott/sphero_swarm_ros,sphero_swarm_ros,Repositories,{'message': 'no data'},{'message': 'no data'},
REPO_C19,https://github.com/pbouffard/ccny-ros-pkg-pbouffard,ccny-ros-pkg-pbouffard,Repositories,{'message': 'no data'},{'message': 'no data'},
REPO_C20,https://github.com/kuka-isir/cart_opt_ctrl,cart_opt_ctrl,Repositories,{'cart_opt_comp': 'constraints Filter current speed for kinetic energy computation Ec current and Ec next Compute E'},{'cart_opt_comp': 'constraints Filter current speed for kinetic energy computation Ec current and Ec next Compute E'},
REPO_C21,https://github.com/ipab-slmc/exotica,exotica,Repositories,{'eff_axis_alignment': 'ad diameter Head length Current: red Target: green Clear pre-existing markers DELETE_ALL Curren'},{'eff_axis_alignment': 'ad diameter Head length Current: red Target: green Clear pre-existing markers DELETE_ALL Curren'},
REPO_C22,https://github.com/ROBOTIS-GIT/ROBOTIS-OP3,ROBOTIS-OP3,Repositories,{'op3_manager': ' Sensor Module Header  Motion Module Header  power and torque on check dxls torque. go to init '},{'op3_manager': ' Sensor Module Header  Motion Module Header  power and torque on check dxls torque. go to init '},
REPO_C23,https://github.com/sourishg/jackal-navigation,jackal-navigation,Repositories,"{'triangle': ""ltiple or a factor of the primary word size; powers of two are safe.   `alignment' is normally ""}","{'triangle': ""ltiple or a factor of the primary word size; powers of two are safe.   `alignment' is normally ""}",
REPO_C24,https://github.com/sourishg/jackal-navigation,jackal-navigation,Repositories,{'elas': ' first blocks to xmm registers declare match energy for each disparity best match get valid disp'},{'elas': ' first blocks to xmm registers declare match energy for each disparity best match get valid disp'},
REPO_C25,https://github.com/AUV-IITK/Anahita,Anahita,Repositories,{'elas': ' first blocks to xmm registers declare match energy for each disparity best match get valid disp'},{'elas': ' first blocks to xmm registers declare match energy for each disparity best match get valid disp'},
REPO_C26,https://github.com/AUV-IITK/Anahita,Anahita,Repositories,"{'triangle': ""ltiple or a factor of the primary word size; powers of two are safe.   `alignment' is normally ""}","{'triangle': ""ltiple or a factor of the primary word size; powers of two are safe.   `alignment' is normally ""}",
REPO_C27,https://github.com/ipa320/cob_environment_perception,cob_environment_perception,Repositories,"{'merging': 'A.debug_svg(""A.svg""),100,300,""red""),100,300,""green"");  exit(0);  (A+B).debug_svg(B.debug_svg(A.'}","{'merging': 'A.debug_svg(""A.svg""),100,300,""red""),100,300,""green"");  exit(0);  (A+B).debug_svg(B.debug_svg(A.'}",
REPO_C28,https://github.com/ipa320/cob_environment_perception,cob_environment_perception,Repositories,{'cospmls': '********************** look up table for the power of 2 which is >= i *************************'},{'cospmls': '********************** look up table for the power of 2 which is >= i *************************'},
REPO_C29,https://github.com/ipa320/cob_environment_perception,cob_environment_perception,Repositories,{'FFTcode': '************ table lookup to compute logs of powers of 2 **************************************'},{'FFTcode': '************ table lookup to compute logs of powers of 2 **************************************'},
REPO_C30,https://github.com/PR2/pr2_plugs,pr2_plugs,Repositories,{'generalized_hough': 'or founds (not far than distance between two power holes / 3)index of the closest feature is in'},{'generalized_hough': 'or founds (not far than distance between two power holes / 3)index of the closest feature is in'},
REPO_C31,https://github.com/PR2/pr2_plugs,pr2_plugs,Repositories,"{'outlet_detector': ' reference frame first, calculate homography power left power right ground hole            prin'}","{'outlet_detector': ' reference frame first, calculate homography power left power right ground hole            prin'}",
REPO_C32,https://github.com/PR2/pr2_plugs,pr2_plugs,Repositories,"{'outlet_tuple': 'mm, the distance from the ground hole to the power holesvoid calc_image_homography(const CvPoin'}","{'outlet_tuple': 'mm, the distance from the ground hole to the power holesvoid calc_image_homography(const CvPoin'}",
REPO_C33,https://github.com/ipa320/srs_public,srs_public,Repositories,"{'but_materialtest1': 't part with triangles, and then axes (in red/green/blue). BaseWhiteNoLighting is the name of a '}","{'but_materialtest1': 't part with triangles, and then axes (in red/green/blue). BaseWhiteNoLighting is the name of a '}",
REPO_C34,https://github.com/ipa320/srs_public,srs_public,Repositories,"{'but_projection': 't part with triangles, and then axes (in red/green/blue). BaseWhiteNoLighting is the name of a '}","{'but_projection': 't part with triangles, and then axes (in red/green/blue). BaseWhiteNoLighting is the name of a '}",
REPO_C35,https://github.com/ipa320/srs_public,srs_public,Repositories,"{'but_camcast': 't part with triangles, and then axes (in red/green/blue). BaseWhiteNoLighting is the name of a '}","{'but_camcast': 't part with triangles, and then axes (in red/green/blue). BaseWhiteNoLighting is the name of a '}",
REPO_C36,https://github.com/sigproc/qbo_sigproc,qbo_sigproc,Repositories,{'seg_color_fast': 'rowsGo through all the columnsassume red is 2green is 1blue is 0Display the image using OpenCVC'},{'seg_color_fast': 'rowsGo through all the columnsassume red is 2green is 1blue is 0Display the image using OpenCVC'},
REPO_C37,https://github.com/introlab/rtabmap_ros,rtabmap_ros,Repositories,{'WifiSignalSubNode': ' (which varies from -30 (near) to -80 (far)) green yellow gray Hz'},{'WifiSignalSubNode': ' (which varies from -30 (near) to -80 (far)) green yellow gray Hz'},
REPO_C38,https://github.com/PR2/pr2_robot,pr2_robot,Repositories,{'run_stop_auto_restart': ' enable power reset motors give motors time to detect powe'},{'run_stop_auto_restart': ' enable power reset motors give motors time to detect powe'},
