ID,URL,Repo Name,Collection,MD Contents,C++/C Contents,Python Contents,Included,Notes
REPO0,https://github.com/redbirdrobotics/ros_redbird_m7a,ros_redbird_m7a,Repositories,{},{},"{'controlpanel_node_old': 'ts the element in the color column to either green or red row, tOrFString): UNCOMMENT THIS TO I', 'controlpanel_node': 'ts the element in the color column to either green or red row, tOrFString): UNCOMMENT THIS TO I', 'greenrobot_node': 'ode data Search ROI Search Whole FrameCreate greenrobot Message Populate Robot information Crea', 'landmark_node': 'cEdit & Show Frame ONLY FOR TESTING!!!! self.greengoal.drawLine(self._image, 30) self.redgoal.d'}",,
REPO1,https://github.com/robotics-in-concert/rocon_multimaster,rocon_multimaster,Repositories,{},{},"{'gateway_hub': 'ish between blocked and resend print(console.green + "" Action Connection w/ unsynchronised comp'}",,
REPO2,https://github.com/PR2/pr2_navigation,pr2_navigation,Repositories,{},{},{'pr2_move_base': 'boend TODO check for network cable check for power cable check for power cable TODO start the a'},,
REPO3,https://github.com/markusk/minibot,minibot,Repositories,{},{},"{'lcd_test': '-Battery with 3 x 3.3Volt = 9.9 Volt (empty battery) 3S LiPo-Battery with 3 x 4.2Volt = 12.6 Vol', 'buttontest': 'python import time # for sleep for sleep for poweroff------ init------ use the GPIO names, _not', 'minibot': 'e.########## Threads##### read AD converter (battery voltage) use channel 0 on IC 2.73 V = 12.32 ', 'battery': ' Digital converter object read AD converter (battery voltage) use channel 0 on IC 13.44 Volt batt', 'powermonitor': '/pushbotton stuff ---------------------- for poweroff init use the GPIO names, _not_ the pin nu', 'battery_publisher': 'mestamp for NaN values (Not a Number) import power_supply.h we need a data type to publish the '}",,
REPO4,https://github.com/spencer-project/spencer_people_tracking,spencer_people_tracking,Repositories,{},{},{'tracks_to_svg': 'ong as track exists## Track renderer ### red green blue magenta cyan yellow swap rows and colum'},,
REPO5,https://github.com/MalcolmMielle/Auto-Complete-Graph,Auto-Complete-Graph,Repositories,{},{},"{'t_test': 'cs with R"" by Peter Dalgaard daily intake of energy in kJ for 11 women one sample t-test null hy'}",,
REPO6,https://github.com/Bichette09/imaginarium,imaginarium,Repositories,{},{},"{'settings_store_client': 's will listen controller.html page to manage power status', 'gyro': '8 define MPU address wake up device and init power management PWR_MGMT_1 who am i configure gyr', 'actuatorESP32': 'TOP if we are about to close the node, or if power is disabled, emit neutral point rospy.logwar', 'actuator': 'TOP if we are about to close the node, or if power is disabled, emit neutral point rospy.logwar'}",,
REPO7,https://bitbucket.org/udg_cirs/cola2_core,cola2_core,Repositories,{},{},"{'sim_internal_sensors': ' received in X seconds, abort mission Reduce battery level Publish diagnostic message', 'vehicle_status_parser': 'or last nav data Create Publisher Initialize battery data Which value do I put? This should not b'}",,
REPO8,https://github.com/fkie/multimaster_fkie,multimaster_fkie,Repositories,{},{},"{'master_view_proxy': ""ode does not respond: </b></font>'008000' # greenFF6600'CC0000'FFCC00'0000CC' i""}",,
REPO9,https://github.com/start-jsk/rtmros_common,rtmros_common,Repositories,{},{},"{'hrpsys_dashboard': 'ationMode()"" HrpsysDashboard definitionself._power = HrpsysPowerMenu()', 'diagnostics': '!/usr/bin/env python servo on calib done power on emergency mode', 'collision_state': 'iORB.any root id color changes between 0.145(green) -> 0.02(red), under 0.02, it always red# co'}",,
REPO10,https://github.com/tum-phoenix/phx_quadrocopter_ros,phx_quadrocopter_ros,Repositories,{},{},"{'ORBTest': "" worth it since we don't have the processing power for huge amounts of descriptorsFLANN_INDEX_K"", 'SIFTTest': ""dinate origin and axis lines draw matches in green color draw only inliers cv2.putText(img3, 'T"", 'ORBPoseEstimationFinal': ""em base draw coordinate axis draw matches in green color draw only inlierscv2.putText(img3, 'Tr"", 'altitude': 'baro - lila naze gps - red lidar - blue ir - green fused - grey', 'AxisItem': 'cs)# optimal minor tick spacing# the largest power-of-10 spacing which is smaller than optimal#', 'shaders': ' colorMap[0] + colorMap[1], colorMap[2])# green = pow(z * colorMap[3] + colorMap[4], colorMa', 'GLAxisItem': 'le( GL_BLEND )glEnable( GL_ALPHA_TEST ) z is green y is yellow x is blue', 'ColorMapWidget': ""N']nanColor = (nanColor.red()/255., nanColor.green()/255., nanColor.blue()/255., nanColor.alpha"", 'controller_node': '!/usr/bin/env python in Hz self.s = 3 # battery configuration 3s/4s self.v_c = 4.7 # voltag'}",,
REPO11,https://bitbucket.org/guiche/rosebot_description,rosebot_description,Repositories,{},{},"{'interface_mot-test': ')self.sendStartCoord(0.850, 2.770, 4.71238) #greenvioletprint ""================================', 'interface_acc': 'ch state : get starter state : value == 0 -> green color value == 1 -> purple color def callbac', 'test_change_color_node': '!/usr/bin/env python value == 0 -> green color value == 1 -> purple color Define init', 'interface_mot': ' self.sendStartCoord(0.850, 2.770, 4.71238) #greenself.sendStartCoord(0.850, 0.330, 1.57079) #'}",,
REPO12,https://github.com/fetchrobotics/fetch_robots,fetch_robots,Repositories,{},{},"{'software_runstop': 'tware runstop, due to breaker states set via power_msgs persisting. Standard Library Third Part'}",,
REPO13,https://github.com/ros-interactive-manipulation/pr2_object_manipulation,pr2_object_manipulation,Repositories,{},{},{'reactive_grasp': 'bletable_height = .7366 #table in middle of green roomround tablefrom the topside approach/gra'},,
REPO14,https://github.com/leonard-lab/dcslROS,dcslROS,Repositories,{},{},"{'miabot_module': 'f the action is successful, the button turns green and if the action fails it turns red. @param'}",,
REPO15,https://github.com/uf-mil-archive/PropaGator,PropaGator,Repositories,{},{},"{'boat_class': ' and avoid being at the 0/2*PI boundary on a powerup 1.4 rad/s~22 rpm 205/1023 is about 20% tor', 'dynamixel_io': 'tion modify EEPROM data which persists after power cycle ######################################', 'quadcopter_landing': 'ssed_frame,9,75,75) landing_pad = filter_green_markers(blur_processed) contours,hierarc', 'cascade_blob_merge': 'ionsfinal_or_img = cv2.bitwise_or(yr_or_img, green_masked_img)kernel = np.ones((5,5),np.uint8)i', 'azimuth_drive': 'trust (Not doing any nonlinear modelling for power cost) f in x f in y Moment about Z Early Che', 'find_signs_with_new_msg': "" for the detected shapecolor: 'black' 'red' 'green' 'blue'hsv[0,1,2]: HSV values for determinin"", 'find_signs_PVC': "" for the detected shapecolor: 'black' 'red' 'green' 'blue'hsv[0,1,2]: HSV values for determinin"", 'find_signs_8020': "" for the detected shapecolor: 'black' 'red' 'green' 'blue'hsv[0,1,2]: HSV values for determinin"", 'find_signs': "" for the detected shapecolor: 'black' 'red' 'green' 'blue'hsv[0,1,2]: HSV values for determinin"", 'find_signs_sensitive': "" for the detected shapecolor: 'black' 'red' 'green' 'blue'hsv[0,1,2]: HSV values for determinin""}",,
REPO16,https://github.com/ipa320/cob_command_tools,cob_command_tools,Repositories,{},{},{'battery_monitor': 'ions and limitations under the License. % of battery level % of battery level % of battery level '},,
REPO17,https://github.com/super-owesome/bobble_controllers,bobble_controllers,Repositories,{},{},{'plots': ' The FFT of the signal And the power (sig_fft is of complex dtype) The correspond'},,
REPO18,https://bitbucket.org/mitchell_scott/sphero_swarm_ros,sphero_swarm_ros,Repositories,{},{},"{'sphero_class': 'ay, queue_size = 10)setup streaming setup power notificationsetup collision detectionset the', 'sphero': 'bot.bt.target_address2)setup streaming setup power notificationsetup collision detectionset the', 'updated_sphero_class': '.bt.target_address2)setup streaming setup power notificationsetup collision detectionset the', 'move_sphero': 'ion located in specified file. Returns [left_power, right_power, left_state, right_state]', 'example': ' few notes: The sphero seems to work best at power values between 60 and 90 or so.Remember that'}",,
REPO19,https://github.com/pbouffard/ccny-ros-pkg-pbouffard,ccny-ros-pkg-pbouffard,Repositories,{},{},{'monitor': '://en.wikipedia.org/wiki/Lithium-ion_polymer_battery Maximum Voltage Warning Voltage Minimum Volt'},,
REPO20,https://github.com/kuka-isir/cart_opt_ctrl,cart_opt_ctrl,Repositories,{},{'cart_opt_comp': 'constraints Filter current speed for kinetic energy computation Ec current and Ec next Compute E'},{},,
REPO21,https://github.com/ipab-slmc/exotica,exotica,Repositories,{},{'eff_axis_alignment': 'ad diameter Head length Current: red Target: green Clear pre-existing markers DELETE_ALL Curren'},{},,
REPO22,https://github.com/ROBOTIS-GIT/ROBOTIS-OP3,ROBOTIS-OP3,Repositories,{},{'op3_manager': ' Sensor Module Header Motion Module Header power and torque on check dxls torque. go to init '},{},,
REPO23,https://github.com/sourishg/jackal-navigation,jackal-navigation,Repositories,{},"{'triangle': ""ltiple or a factor of the primary word size; powers of two are safe. `alignment' is normally "", 'elas': ' first blocks to xmm registers declare match energy for each disparity best match get valid disp'}",{},,
REPO24,https://github.com/AUV-IITK/Anahita,Anahita,Repositories,{},"{'elas': ' first blocks to xmm registers declare match energy for each disparity best match get valid disp', 'triangle': ""ltiple or a factor of the primary word size; powers of two are safe. `alignment' is normally ""}",{},,
REPO25,https://github.com/ipa320/cob_environment_perception,cob_environment_perception,Repositories,{},"{'merging': 'A.debug_svg(""A.svg""),100,300,""red""),100,300,""green""); exit(0); (A+B).debug_svg(B.debug_svg(A.', 'cospmls': '********************** look up table for the power of 2 which is >= i *************************', 'FFTcode': '************ table lookup to compute logs of powers of 2 **************************************'}",{},,
REPO26,https://github.com/PR2/pr2_plugs,pr2_plugs,Repositories,{},"{'generalized_hough': 'or founds (not far than distance between two power holes / 3)index of the closest feature is in', 'outlet_detector': ' reference frame first, calculate homography power left power right ground hole prin', 'outlet_tuple': 'mm, the distance from the ground hole to the power holesvoid calc_image_homography(const CvPoin'}",{},,
REPO27,https://github.com/ipa320/srs_public,srs_public,Repositories,{},"{'but_materialtest1': 't part with triangles, and then axes (in red/green/blue). BaseWhiteNoLighting is the name of a ', 'but_projection': 't part with triangles, and then axes (in red/green/blue). BaseWhiteNoLighting is the name of a ', 'but_camcast': 't part with triangles, and then axes (in red/green/blue). BaseWhiteNoLighting is the name of a '}",{},,
REPO28,https://github.com/sigproc/qbo_sigproc,qbo_sigproc,Repositories,{},{'seg_color_fast': 'rowsGo through all the columnsassume red is 2green is 1blue is 0Display the image using OpenCVC'},{},,
REPO29,https://github.com/introlab/rtabmap_ros,rtabmap_ros,Repositories,{},{'WifiSignalSubNode': ' (which varies from -30 (near) to -80 (far)) green yellow gray Hz'},{},,
REPO30,https://github.com/PR2/pr2_robot,pr2_robot,Repositories,{},{'run_stop_auto_restart': ' enable power reset motors give motors time to detect powe'},{},,
REPO31,https://github.com/pal-robotics/perception_blort,perception_blort,Repositories,{},"{'Recognizer3D': 'LLPATH object contours & features drawn with green pose estimage object contours drawn with pur', 'Predictor': '); \t\t} Tukey estimator TODO evaluate optimal power of estimator (accuracy / robustness) \t\tsigma'}",{},,
REPO32,https://github.com/Pitt-RAS/iarc7_vision,iarc7_vision,Repositories,{},"{'RoombaBlobDetector': 'on Fill out results True if the patch is red/green, false otherwise True if the patch is red/gr'}","{'filterbank': '=5)(delayed(convolve)(img, filt) for filt in battery) Reshape the input vectors into what tensorf'}",,
REPO33,https://github.com/robotics-upo/upo_robot_navigation,upo_robot_navigation,Repositories,{},"{'capture': ' = 10mTransform pointCloud2 to pointCloudbluegreenredprintf(""\\naddObstacles!!! points.size: %u\\', 'Yield': '::cout << ""red: "" << (unsigned int)red << "", green: "" << (unsigned int)green << "", blue: "" << ('}",{},,
REPO34,https://github.com/ridgeback/ridgeback_robot,ridgeback_robot,Repositories,{},{'ridgeback_hardware': ' Checks to see if power flag has been reset for each driver Process '},{},,
REPO35,https://github.com/AIS-Bonn/nimbro_network,nimbro_network,Repositories,{},{'qcustomplot': 'cond char as indicator for beautiful decimal powers: interpret third char as indicator for dot '},{},,
REPO36,https://github.com/dxydas/ros-bioloid,ros-bioloid,Repositories,{},{'qcustomplot': 'cond char as indicator for beautiful decimal powers: interpret third char as indicator for dot '},{},,
REPO37,https://github.com/lucasw/imgui_ros,imgui_ros,Repositories,{},"{'bag_console': 'cs in columns Color code according to level: green, white, yellow, red, dark red (or black on r', 'image': 'ader to copy the red channel to the blue and green - there is no longer a GL_LUMINANCE https://'}",{},,
REPO38,https://github.com/mavlink/mavros,mavros,Repositories,{},"{'enum_to_string': ' and going down. System just initialized its power-down sequence, will shut down now. System is', 'sys_status': 'g.outl(""default:"") cog.outl(""\\tbatt_msg->power_supply_technology = BatteryMsg::POWER_SUPPLY'}",{},,
REPO39,https://github.com/ros-perception/image_pipeline,image_pipeline,Repositories,{},{'edge_aware': 'step b g b line_step2 g r g red pixel green pixel blue; Bayer 0 1 2 0 '},{'calibrator': 'w calibration even if not all parameters are green TODO Awkward that we update self.goodenough '},,
REPO40,https://github.com/UTNuclearRoboticsPublic/jog_arm,jog_arm,Repositories,{},{'jog_arm_server': 'ed thresholds. I scaled exponentially (cubic power) so velocity drops off quickly after the thr'},{},,
REPO41,https://github.com/CalPolyRobotics/IGVC-ROS,IGVC-ROS,Repositories,{},{'occupancy_grid_plugin': ' plugin Standard gray map palette values red green blue alpha illegal positive values in green '},"{'demo': 'ransform matrix diameter list of RGB values (green) pose, color, scale, lifetime Publish a sphe'}",,
REPO42,https://github.com/RoboJackets/roboracing-software,roboracing-software,Repositories,{},"{'cone_bottom_detector': 'f the Orange Color Thresholding Dilate, make green overlay, and resize image to initial dimensi', 'startlight_watcher': 'eeing red, change this formula. red - blue - green@note: if you have trouble seeing green, chan'}",{'dynamic_exposure': ' str(goalBrightness))set b and r to zero for greenscale im if shutter speed actually changed (s'},,
REPO43,https://github.com/IGVC-IITK/computer_vision,computer_vision,Repositories,{},"{'gslicr_ros': 'e colour values for each superpixel black to green for avoiding divide-by-zero error average-re', 'rgb-gen': '<<(int)(red_sum[i-1]/count[i-1])<<"" ""<<(int)(green_sum[i-1]/count[i-1])<<"" ""<<(int)(blue_sum[i-'}",{},,
REPO44,https://github.com/kucars/haptic_teleoperation,haptic_teleoperation,Repositories,{},"{'SlaveController': 'stop(0,0) > -1.0 && !lastPositionUpdate) && (battery_per > 30) // this code has been used when cr'}",{},,
REPO45,https://github.com/utexas-bwi/segbot,segbot,Repositories,{},"{'battery_diagnostics': 'egator config file expectsDoes there exist a battery profile? If so, acquire the parameters it de', 'inv_mpu': 's appear on the primary. 1 if device in low-power accel-only mode. 1 if interrupts are only t'}",{'voltmeter': 'ility options: initialize constant fields in battery message Parse serial message line into a lis'},,
REPO46,https://github.com/RoboSherlock/robosherlock,robosherlock,Repositories,{},"{'ObjectIdentityResolution': '.dae"";add color if we have somedefault color green Don\'t forget to set the alpha! ignore object'}",{},,
REPO47,https://github.com/youbot/youbot-ros-pkg,youbot-ros-pkg,Repositories,{},"{'youbot_battery_monitor': 'ite IP addresses to the lcd display retrieve battery information call the beep command dashboard ', 'PoseEstimation6DNode': 'oud3D;\ttmpModel->readFromTxtFile(""test_model_green_1.txt"");\tmodelDataBase.push_back(tmpModel);\t', 'EuclideanClustering': 'et_cast<unsigned char*>(&r);\t\t\tunsigned char green= *reinterpret_cast<unsigned char*>(&g);\t\t\tun', 'xxmatrix': ' take the inverse of the source if negative power and copy the workmatrix to the destination '}",{},,
REPO48,https://github.com/PR2/pr2_controllers,pr2_controllers,Repositories,{},"{'joint_spline_trajectory_controller': ""g on packages that aren't mature yet. create powers of time: Gets all of the joints Ensures tha"", 'joint_trajectory_action_controller': ""g on packages that aren't mature yet. create powers of time: Gets all of the joints Ensures tha""}",{},,
REPO49,https://github.com/ros-planning/moveit,moveit,Repositories,{},"{'simulation_widget': 'elements in black Show the added elements in green Position of the first transmission element i', 'chomp_trajectory': ' the memory: now copy the trajectories over: powers of the time duration calculate the spline c', 'collision_check_thread': 'ed thresholds. I scaled exponentially (cubic power) so velocity drops off quickly after the thr'}",{},,
REPO50,https://github.com/AcutronicRobotics/moveit2,moveit2,Repositories,{},"{'simulation_widget': 'elements in black Show the added elements in green Position of the first transmission element i', 'chomp_trajectory': ' the memory: now copy the trajectories over: powers of the time duration calculate the spline c'}",{},,
REPO51,https://github.com/felixendres/rgbdslam_v2,rgbdslam_v2,Repositories,{},"{'glviewer': 'are)No segment: original colorright segment: greenwrong segment: redsegment_to_optimize == 0bla', 'graph_mgr_io': ""n't visualize, if nobody's lookingred outliergreen inlier, newer endpointyellow inlier, earlier""}",{},,
REPO52,https://github.com/pandora-auth-ros-pkg/pandora_ros_pkgs,pandora_ros_pkgs,Repositories,{},"{'color_angles_test': 'r testing Construct a blue image Construct a green image Construct a red image/ Tests ColorAngl', 'hard_obstacle_detector': '************** If value is negative, make it green for visualizationcv::imshow(title, scaledIma', 'xmega_hardware_interface': '*********************** connect and register power supply interface connect and register range ', 'xmega_serial_interface': ""up ' ' after sensor id ' ' after sensor type battery, not i2c sensor encoder, not i2c sensor ' ' "", 'arm_hardware_interface': ' range sensor interface connect and register battery interface connect and register joint state i', 'gio_gazebo_interface': 'egister the co2 sensor interface Electronics battery sensor Motors battery sensor Connect and reg', 'pandora_co2_plugin': ' count Decrement count co2 is represented by green namespace gazebo'}",{},,
REPO53,https://github.com/jhu-lcsr/sp_segmenter,sp_segmenter,Repositories,{},"{'WKmeans': 'cerr<<""Iter-""<<cur_counter<<"" Energy: ""<<cur_energy<<std::endl;Sparse Data Kmeans///////////////'}",{},,
