W0,https://wiki.ros.org/rosbridge_server,Wiki,rosbridge_server,"A WebSocket interface to rosbridge.

Rosbridge server is part of the rosbridge_suite of packages, providing a  transport layer. A  is a low-latency, bidirectional communication layer between clients (web browsers) and servers. By providing a  connection, rosbridge server allows webpages to talk ROS using the rosbridge protocol. Rosbridge server creates a  connection and passes any JSON messages from the  to rosbridge_library, so rosbridge library can convert the JSON strings into ROS calls. The reverse also happens, with rosbridge library converting any ROS responses into JSON, then passing it to rosbridge server to send over the  connection. Check out  for a  library that talks to rosbridge server over . While rosbridge server provides a  connection, rosbridge itself is not tied to any particular transport layer. You could add a rosbridge TCP package or node, for example, that communicates with rosbridge using TCP sockets. No  or browsers needed.  for these additional transport layers are encouraged! "
W1,https://wiki.ros.org/jsk_rqt_plugins,Wiki,jsk_rqt_plugins,The jsk_rqt_plugins packageDoc:  
W2,https://wiki.ros.org/ethercat_trigger_controllers,Wiki,ethercat_trigger_controllers,"Controllers to operate the digital output of the motor controller
    boards and the projector board. This package has not been reviewed and
    should be considered unstable.
"
W3,https://wiki.ros.org/rqt_joint_trajectory_controller,Wiki,rqt_joint_trajectory_controller,"Graphical frontend for interacting with joint_trajectory_controller instances.
 Graphical frontend for interacting with  instances. joint_trajectory_controller"
W4,https://wiki.ros.org/zeroconf_msgs,Wiki,zeroconf_msgs,General ros communications used by the various zeroconf implementations.Messages supporting the  and  stacks. 
W5,https://wiki.ros.org/asr_msgs,Wiki,asr_msgs,"This package contains all messages that are particular to our Active Scene Recognition - Framework at 
		Humanoids and Intelligence Systems Lab (HIS), Karlsruhe Institute of Technology (KIT).
	  These messages make up the interfaces between the different collaborating components of this system.
	  They are of critical importance and structured by the ROS communication capabilities. 

 "
W6,https://wiki.ros.org/pmb2_controller_configuration_gazebo,Wiki,pmb2_controller_configuration_gazebo,"Gazebo-specifig launch files and scripts needed to configure
    the controllers of the PMB2 robot in simulation."
W7,https://wiki.ros.org/ocl,Wiki,ocl,"Orocos component library
    This package contains standard components for the Orocos Toolchain

Read the  for detailed information on how to use the deployer. rosrun ocl deployer-gnulinux -ldebug -s deploy.ops












<?xml version=""1.0"" encoding=""UTF-8""?>                                                                                                                            
  <!DOCTYPE properties SYSTEM ""cpf.dtd"">                                                                                                                            
    <properties>
     <simple name=""init_file"" type=""string""><description>Name of the initialisation file</description><value>init.xml</value></simple>
    </properties>   <launch>                                                                                                                                                 
   <node name=""myNodeName"" pkg=""ocl"" type=""deployer-gnulinux"" launch-prefix=""konsole -e"" args=""-ldebug -s $(find myRosPkg)/deploy.ops --"">
   </node>           
  </launch> "
W8,https://wiki.ros.org/lanelet2_routing,Wiki,lanelet2_routing,Routing module for lanelet2
W9,https://wiki.ros.org/multisense,Wiki,multisense,multisense catkin driver
