URL,Repo Name,Collection,MD Contents,C++/C Contents,Python Contents
https://github.com/redbirdrobotics/ros_redbird_m7a,ros_redbird_m7a,Repositories,{'message': 'no data'},{'message': 'no data'},"{'controlpanel_node_old': 'ts the element in the color column to either green or red row, tOrFString): UNCOMMENT THIS TO I'}"
https://github.com/redbirdrobotics/ros_redbird_m7a,ros_redbird_m7a,Repositories,{'message': 'no data'},{'message': 'no data'},"{'controlpanel_node': 'ts the element in the color column to either green or red row, tOrFString): UNCOMMENT THIS TO I'}"
https://github.com/redbirdrobotics/ros_redbird_m7a,ros_redbird_m7a,Repositories,{'message': 'no data'},{'message': 'no data'},{'greenrobot_node': 'ode data Search ROI Search Whole FrameCreate greenrobot Message Populate Robot information Crea'}
https://github.com/redbirdrobotics/ros_redbird_m7a,ros_redbird_m7a,Repositories,{'message': 'no data'},{'message': 'no data'},"{'landmark_node': 'cEdit & Show Frame ONLY FOR TESTING!!!! self.greengoal.drawLine(self._image, 30) self.redgoal.d'}"
https://github.com/robotics-in-concert/rocon_multimaster,rocon_multimaster,Repositories,{'message': 'no data'},{'message': 'no data'},"{'gateway_hub': 'ish between blocked and resend print(console.green + "" Action Connection w/ unsynchronised comp'}"
https://github.com/PR2/pr2_navigation,pr2_navigation,Repositories,{'message': 'no data'},{'message': 'no data'},{'pr2_move_base': 'boend TODO check for network cable check for power cable check for power cable TODO start the a'}
https://github.com/markusk/minibot,minibot,Repositories,{'message': 'no data'},{'message': 'no data'},{'lcd_test': '-Battery with 3 x 3.3Volt = 9.9 Volt (empty battery) 3S LiPo-Battery with 3 x 4.2Volt = 12.6 Vol'}
https://github.com/markusk/minibot,minibot,Repositories,{'message': 'no data'},{'message': 'no data'},"{'buttontest': 'python import time # for sleep for sleep for poweroff------ init------ use the GPIO names, _not'}"
https://github.com/markusk/minibot,minibot,Repositories,{'message': 'no data'},{'message': 'no data'},{'minibot': 'e.########## Threads##### read AD converter (battery voltage) use channel 0 on IC 2.73 V = 12.32 '}
https://github.com/markusk/minibot,minibot,Repositories,{'message': 'no data'},{'message': 'no data'},{'battery': ' Digital converter object read AD converter (battery voltage) use channel 0 on IC 13.44 Volt batt'}
https://github.com/markusk/minibot,minibot,Repositories,{'message': 'no data'},{'message': 'no data'},"{'powermonitor': '/pushbotton stuff ---------------------- for poweroff init use the GPIO names, _not_ the pin nu'}"
