ID,URL,Collection,Title,Contents,Battery,Energy,Power,Sustainab,Green,Included,Notes
B0,https://bitbucket.org/whoidsl/ds_base/pull-requests/13,BitBucketPR,Add ds_batteries to ds_base,"* Adding ds\_batteries setup
* Updating batterybase",2,0,0,0,0,,
SO0,https://stackoverflow.com/questions/23227024/difference-between-spin-and-rate-sleep-in-ros,StackOverflow,Difference between spin and rate.sleep in ROS,am new to ROS and trying to understand this powerful tool. I am confused by the spin and rate.,0,0,1,0,0,,
SO1,https://stackoverflow.com/questions/36723982/kinect-not-connecting-even-though-powered,StackOverflow,kinect not connecting even though powered,"entually ROS). The kinect is plugged in and powered on (blinking green light). When running ,",0,0,1,0,1,,
SO2,https://stackoverflow.com/questions/49827856/my-ros-dwaplanner-planned-overshoot-trajectories,StackOverflow,My ROS DWAPlanner planned overshoot trajectories,"appreciated. Look:
 The pink is the goal, the green is the global plan and the red is the result",0,0,0,0,1,,
SO3,https://stackoverflow.com/questions/50852077/precise-intrinsic-camera-calibration-for-ros-camera-info-message,StackOverflow,Precise Intrinsic Camera Calibration - for ROS camera_info message,alibration the CALDE Tool () which is really powerfull and I would advise everybody to use this,0,0,1,0,0,,
SO4,https://stackoverflow.com/questions/52939173/rosaria-node-doesn-t-receive-messages,StackOverflow,RosAria node doesn’t receive messages,"othing.I’ve also tried to other topics like battery state, motors status and pose, but I don’t r",1,0,0,0,0,,
SO5,https://stackoverflow.com/questions/54885567/switching-ros-local-planner-in-pre-existing-project,StackOverflow,Switching ROS local planner in pre-existing project,"s two pivot wheels in the rear and two front-powered wheels.
 Because the base_local_planner tha",0,0,1,0,0,,
SO6,https://stackoverflow.com/questions/52621056/raspberry-pi-is-freezing-since-cpu-usage-reaches-100-while-installing-ros,StackOverflow,Raspberry Pi is freezing since CPU usage reaches 100 while installing ROS,and it is not responding anymore-I tried to power it off and re-run the above command. However,0,0,1,0,0,,
SO7,https://stackoverflow.com/questions/50977603/how-to-make-a-pyqt-gui-refresh,StackOverflow,How to make a pyqt gui refresh,I am making a gui in pyqt which gets battery levels for a robot and then displays them. T,2,0,0,0,0,,
SO8,https://stackoverflow.com/questions/50503152/system-hangs-while-running-a-cpp-code-using-surf-algorithm,StackOverflow,System hangs while running a .cpp code using SURF algorithm,lly I have to force restart the system using power button.How can I fix this and what might be,0,0,1,0,0,,
