URL,Repo Name,Collection,MD Contents,C/C++ Contents,Python Contents
https://github.com/ipa320/srs_public,srs_public,Repositories,{'message': 'no data'},{'message': 'no data'},{'message': 'no data'}
https://github.com/tum-phoenix/phx_quadrocopter_ros,phx_quadrocopter_ros,Repositories,{'message': 'no data'},{'message': 'no data'},"{'GraphicsView': 'why, but for some reason this class likes to consume drag events'}"
https://bitbucket.org/guiche/rosebot_description,rosebot_description,Repositories,{'message': 'no data'},{'message': 'no data'},"{'xdot': ""## Must call this as it has a side effect of consume further data.print 'graph:', xmin, ymin, xm""}"
https://github.com/start-jsk/rtmros_hironx,rtmros_hironx,Repositories,{'message': 'no data'},{'message': 'no data'},{'message': 'no data'}
https://github.com/JHS-ARCC-Club/jetson_car,jetson_car,Repositories,{'message': 'no data'},{'message': 'no data'},{'message': 'no data'}
https://github.com/AIS-Bonn/nimbro_network,nimbro_network,Repositories,{'message': 'no data'},{'udp_sender': 'at has some data for us. Note that we do not consume the message! No data yet Get the topic name'},{'message': 'no data'}
https://github.com/elpimous/Neo_robot,Neo_robot,Repositories,{'message': 'no data'},{'cvhaartraining': 'lsqsum / area - ( valsum / are )^2 ) * area consumed counter private variables end private va'},{'message': 'no data'}
https://github.com/elpimous/Neo_robot,Neo_robot,Repositories,{'message': 'no data'},{'gtest-all': 'le as a decimal integer. NOLINT Has strtol() consumed all characters in the string? No - an inva'},{'message': 'no data'}
https://github.com/elpimous/Neo_robot,Neo_robot,Repositories,{'message': 'no data'},{'ts_gtest': 'le as a decimal integer. NOLINT Has strtol() consumed all characters in the string? No - an inva'},{'message': 'no data'}
https://github.com/start-jsk/rtmros_common,rtmros_common,Repositories,{'message': 'no data'},{'HrpsysSeqStateROSBridgeImpl': 'er Set service provider to Ports Set service consumers to Ports Set CORBA Service Ports </rtc-te'},"{'idl2srv': ""m_aist rtc-template -bcxx --module-name=%s --consumer=%s:service0:'%s' --consumer-idl=%s --idl-i""}"
https://github.com/start-jsk/rtmros_common,rtmros_common,Repositories,{'message': 'no data'},{'RangeSensorROSBridge': 'er Set service provider to Ports Set service consumers to Ports Set CORBA Service Ports </rtc-te'},{'message': 'no data'}
https://github.com/start-jsk/rtmros_common,rtmros_common,Repositories,{'message': 'no data'},{'ImageSensorROSBridge': 'er Set service provider to Ports Set service consumers to Ports Set CORBA Service Ports </rtc-te'},{'message': 'no data'}
https://github.com/start-jsk/rtmros_common,rtmros_common,Repositories,{'message': 'no data'},{'PointCloudROSBridge': 'er Set service provider to Ports Set service consumers to Ports Set CORBA Service Ports </rtc-te'},{'message': 'no data'}
https://github.com/EndPointCorp/lg_ros_nodes,lg_ros_nodes,Repositories,{'message': 'no data'},{'wiimote_controller': 've a bluetooth address passed in? Try not to consume a ROS arg/param 10Hz'},{'message': 'no data'}
https://github.com/UBC-Snowbots/Snowflake,Snowflake,Repositories,{'message': 'no data'},"{'jdsample': 'fer is emptied, declare this input row group consumed safety check Generate one output row wit'}",{'message': 'no data'}
https://github.com/UBC-Snowbots/Snowflake,Snowflake,Repositories,{'message': 'no data'},"{'jcapistd': 'tly compress the row. If compressor did not consume the whole row, suspend processing. OK, we '}",{'message': 'no data'}
https://github.com/UBC-Snowbots/Snowflake,Snowflake,Repositories,{'message': 'no data'},{'jdmaster': 's. Initialize input side of decompressor to consume first scan. Estimate number of scans to se'},{'message': 'no data'}
https://github.com/UBC-Snowbots/Snowflake,Snowflake,Repositories,{'message': 'no data'},"{'jdmainct': '. Feed the postprocessor Has postprocessor consumed all the data yet? If so, mark buffer empty'}",{'message': 'no data'}
https://github.com/UBC-Snowbots/Snowflake,Snowflake,Repositories,{'message': 'no data'},"{'jdmerge': 'fer is emptied, declare this input row group consumed 1:1 vertical sampling case: much easier, '}",{'message': 'no data'}
https://bitbucket.org/whoidsl/ds_base,ds_base,Repositories,{'message': 'no data'},"{'ds_serial': 'l received: "" << raw_data_.data.data()); The consume method of the streambuffer marks as used th'}",{'message': 'no data'}
https://github.com/RoboSherlock/robosherlock,robosherlock,Repositories,{'message': 'no data'},"{'ActiveMQAnalysisEngineService': ' to set it.str << params.getBrokerURL() << ""?consumer.prefetchSize="" << params.getPrefetchSize()'}",{'message': 'no data'}
https://github.com/RoboSherlock/robosherlock,robosherlock,Repositories,{'message': 'no data'},{'pythonnator': '------------------------------- */ // use casconsumer version so that both annotators and cascon'},{'message': 'no data'}
https://github.com/ros-planning/moveit,moveit,Repositories,{'message': 'no data'},{'shape_mask': 'lelization as it can result in very high CPU consumption#pragma omp parallel for schedule(dynami'},{'message': 'no data'}
https://github.com/AcutronicRobotics/moveit2,moveit2,Repositories,{'message': 'no data'},{'shape_mask': 'lelization as it can result in very high CPU consumption#pragma omp parallel for schedule(dynami'},{'message': 'no data'}
https://github.com/felixendres/rgbdslam_v2,rgbdslam_v2,Repositories,{'message': 'no data'},{'rand': 'ts. It can be shown that this\t\twill exactly consume all n points.\t\tThis procedure makes use of '},{'message': 'no data'}
https://github.com/pandora-auth-ros-pkg/pandora_ros_pkgs,pandora_ros_pkgs,Repositories,{'message': 'no data'},"{'hole_fusion': 'nerated for them, and time is not wastefully consumed. Apply all active filters and obtain a 2D '}",{'message': 'no data'}
https://github.com/billieblaze/ROS_Rover_addons,ROS_Rover_addons,Repositories,{'message': 'no data'},{'AccelStepper': '0 0010 0110 01000101 00011001 Prevents power consumption on the outputs Handles inversion automa'},{'message': 'no data'}
https://github.com/KCL-Planning/ROSPlan,ROSPlan,Repositories,{'message': 'no data'},{'POPFPlannerInterface': ' planer check the planner solved the problem consume useless lines read a plan (might not be the'},{'message': 'no data'}
https://github.com/KCL-Planning/ROSPlan,ROSPlan,Repositories,{'message': 'no data'},{'LPGPlannerInterface': 'ct path check the planner solved the problem consume useless lines extract second block of unint'},{'message': 'no data'}
https://github.com/tuw-robotics/tuw_marker_detection,tuw_marker_detection,Repositories,{'message': 'no data'},"{'markerdetector': 've homographywarping is one of the most time consuming operations, especially when the region is'}",{'message': 'no data'}
https://github.com/berkeleyopenarms/blue_core,blue_core,Repositories,{'message': 'no data'},{'json': '. Break on Moc OS 9 EOL. stopgap for already consumed character integral part fractional part ex'},{'message': 'no data'}
https://bitbucket.org/whoidsl/ds_sensors,ds_sensors,Repositories,{'message': 'no data'},{'microstrainahrs': ' to the start of the next set of bytes to be consumed sanity-check fields sanity-check header si'},{'message': 'no data'}
https://github.com/occamLab/tango_ros_bridge,tango_ros_bridge,Repositories,{'index': 'publishes it in on a topic so that it can be consumed by client ROS nodes.\n\n# Sample Use Cases\nH'},{'message': 'no data'},{'message': 'no data'}
https://github.com/fkie/iop_core,iop_core,Repositories,"{'howto_minimal_config': 'ion of client service of the OCU, since they consumes only the functionality of robot service. A'}",{'message': 'no data'},{'message': 'no data'}
https://github.com/fkie/iop_core,iop_core,Repositories,"{'how_it_works': 'he ROS/IOP-Bridge components on the OCU side consume the JAUS data, e.g. of the PrimitiveDriver.'}",{'message': 'no data'},{'message': 'no data'}
https://github.com/team-vigir/vigir_footstep_planning_core,vigir_footstep_planning_core,Repositories,"{'LICENSE': 'e work.\n\n A ""User Product"" is either (1) a ""consumer product"", which means any\ntangible persona'}",{'message': 'no data'},{'message': 'no data'}
https://github.com/b-it-bots/mas_domestic_robotics,mas_domestic_robotics,Repositories,"{'LICENSE': 'e work.\n\n A ""User Product"" is either (1) a ""consumer product"", which means any\ntangible persona'}",{'message': 'no data'},{'message': 'no data'}
https://github.com/Nsteel/Apollo_13,Apollo_13,Repositories,"{'LICENSE': 'e work.\n\n A ""User Product"" is either (1) a ""consumer product"", which means any\ntangible persona'}",{'message': 'no data'},{'message': 'no data'}
https://github.com/yijiangh/choreo,choreo,Repositories,"{'faq': 's is an optimization which can reduce memory consumption and improve performance, but the input '}",{'GteShader': 'penGL does not have the concept of an append-consume type structured buffer nor does it have the'},{'message': 'no data'}
https://github.com/yijiangh/choreo,choreo,Repositories,{'features': ' a generator API (`rapidjson::Writer`) which consumes the same set of events.\n* DOM (Document Ob'},"{'GteFluid3InitializeSource': 'consisting of a producer of\\n"" density and a consumer of density.\\n"" Compute an input to the flu'}",{'message': 'no data'}
https://github.com/yijiangh/choreo,choreo,Repositories,"{'dom': 'e` does not do so, in order to reduce memory consumption.\n\nThe default allocator used in `Generi'}","{'GteFluid2InitializeSource': 'consisting of a producer of\\n"" density and a consumer of density.\\n"" Compute an input to the flu'}",{'message': 'no data'}
https://github.com/yijiangh/choreo,choreo,Repositories,{'sax': ' the user needs to implement a handler which consumes the events (via function calls) from the `'},{'message': 'no data'},{'message': 'no data'}
https://github.com/yijiangh/choreo,choreo,Repositories,"{'internals': ' |\n\nHere are some notes:\n* To reduce memory consumption for 64-bit architecture, `SizeType` is '}",{'message': 'no data'},{'message': 'no data'}
https://github.com/yijiangh/choreo,choreo,Repositories,"{'stream': ' byte stream, it is needed to detect or just consume the BOM if exists. When writing to a byte s'}",{'message': 'no data'},{'message': 'no data'}
https://github.com/duckietown/Softwareduck,Softwareduck,Repositories,"{'software-architecture-and-design': 'roduced, and [Primitves](#primitives) may be consumed. The interface is very generic so that dif'}",{'message': 'no data'},{'message': 'no data'}
https://github.com/jsk-ros-pkg/jsk_common,jsk_common,Repositories,{'README': 'nd of re-sending packets takes much time and consumes bandwidth for example TCP re-sending.\n* Re'},{'message': 'no data'},{'message': 'no data'}
https://github.com/fetchrobotics/fetch_robots,fetch_robots,Repositories,"{'README': 'df).\n\nThis public repository, is designed to consume the output of our private `fetch_drivers` r'}",{'message': 'no data'},{'message': 'no data'}
https://github.com/chrisl8/ArloBot,ArloBot,Repositories,{'README': 'scripts@0.2.3` and higher.\n\nYour project can consume variables declared in your environment as i'},{'message': 'no data'},{'message': 'no data'}
