ID,URL,Repo Name,Collection,MD Contents,C++ Contents,Python Contents
REPO_MD0,https://github.com/redbirdrobotics/ros_redbird_m7a,ros_redbird_m7a,Repositories,{'message': 'no data'},{'message': 'no data'},
REPO_MD1,https://github.com/robotics-in-concert/rocon_multimaster,rocon_multimaster,Repositories,{'message': 'no data'},{'message': 'no data'},
REPO_MD2,https://github.com/PR2/pr2_navigation,pr2_navigation,Repositories,{'message': 'no data'},{'message': 'no data'},
REPO_MD3,https://github.com/markusk/minibot,minibot,Repositories,{'message': 'no data'},{'message': 'no data'},
REPO_MD4,https://github.com/spencer-project/spencer_people_tracking,spencer_people_tracking,Repositories,{'message': 'no data'},{'message': 'no data'},
REPO_MD5,https://github.com/MalcolmMielle/Auto-Complete-Graph,Auto-Complete-Graph,Repositories,{'message': 'no data'},{'message': 'no data'},
REPO_MD6,https://github.com/Bichette09/imaginarium,imaginarium,Repositories,{'message': 'no data'},{'message': 'no data'},
REPO_MD7,https://bitbucket.org/udg_cirs/cola2_core,cola2_core,Repositories,{'message': 'no data'},{'message': 'no data'},
REPO_MD8,https://github.com/fkie/multimaster_fkie,multimaster_fkie,Repositories,{'message': 'no data'},{'message': 'no data'},
REPO_MD9,https://github.com/start-jsk/rtmros_common,rtmros_common,Repositories,{'message': 'no data'},{'message': 'no data'},
REPO_MD10,https://github.com/tum-phoenix/phx_quadrocopter_ros,phx_quadrocopter_ros,Repositories,{'message': 'no data'},{'message': 'no data'},
REPO_MD11,https://bitbucket.org/guiche/rosebot_description,rosebot_description,Repositories,{'message': 'no data'},{'message': 'no data'},
REPO_MD12,https://github.com/fetchrobotics/fetch_robots,fetch_robots,Repositories,{'message': 'no data'},{'message': 'no data'},
REPO_MD13,https://github.com/ros-interactive-manipulation/pr2_object_manipulation,pr2_object_manipulation,Repositories,{'message': 'no data'},{'message': 'no data'},
REPO_MD14,https://github.com/leonard-lab/dcslROS,dcslROS,Repositories,{'message': 'no data'},{'message': 'no data'},
REPO_MD15,https://github.com/uf-mil-archive/PropaGator,PropaGator,Repositories,{'message': 'no data'},{'message': 'no data'},
REPO_MD16,https://github.com/ipa320/cob_command_tools,cob_command_tools,Repositories,{'message': 'no data'},{'message': 'no data'},
REPO_MD17,https://github.com/super-owesome/bobble_controllers,bobble_controllers,Repositories,{'message': 'no data'},{'message': 'no data'},
REPO_MD18,https://bitbucket.org/mitchell_scott/sphero_swarm_ros,sphero_swarm_ros,Repositories,{'message': 'no data'},{'message': 'no data'},
REPO_MD19,https://github.com/pbouffard/ccny-ros-pkg-pbouffard,ccny-ros-pkg-pbouffard,Repositories,{'message': 'no data'},{'message': 'no data'},
REPO_MD20,https://github.com/kuka-isir/cart_opt_ctrl,cart_opt_ctrl,Repositories,{'message': 'no data'},{'cart_opt_comp': 'constraints Filter current speed for kinetic energy computation Ec current and Ec next Compute E'},
REPO_MD21,https://github.com/ipab-slmc/exotica,exotica,Repositories,{'message': 'no data'},{'eff_axis_alignment': 'ad diameter Head length Current: red Target: green Clear pre-existing markers DELETE_ALL Curren'},
REPO_MD22,https://github.com/ROBOTIS-GIT/ROBOTIS-OP3,ROBOTIS-OP3,Repositories,{'message': 'no data'},{'op3_manager': ' Sensor Module Header  Motion Module Header  power and torque on check dxls torque. go to init '},
REPO_MD23,https://github.com/sourishg/jackal-navigation,jackal-navigation,Repositories,{'message': 'no data'},"{'triangle': ""ltiple or a factor of the primary word size; powers of two are safe.   `alignment' is normally ""}",
REPO_MD23,https://github.com/sourishg/jackal-navigation,jackal-navigation,Repositories,{'message': 'no data'},{'elas': ' first blocks to xmm registers declare match energy for each disparity best match get valid disp'},
REPO_MD24,https://github.com/AUV-IITK/Anahita,Anahita,Repositories,{'message': 'no data'},{'elas': ' first blocks to xmm registers declare match energy for each disparity best match get valid disp'},
REPO_MD24,https://github.com/AUV-IITK/Anahita,Anahita,Repositories,{'message': 'no data'},"{'triangle': ""ltiple or a factor of the primary word size; powers of two are safe.   `alignment' is normally ""}",
REPO_MD25,https://github.com/ipa320/cob_environment_perception,cob_environment_perception,Repositories,{'message': 'no data'},"{'merging': 'A.debug_svg(""A.svg""),100,300,""red""),100,300,""green"");  exit(0);  (A+B).debug_svg(B.debug_svg(A.'}",
REPO_MD25,https://github.com/ipa320/cob_environment_perception,cob_environment_perception,Repositories,{'message': 'no data'},{'cospmls': '********************** look up table for the power of 2 which is >= i *************************'},
REPO_MD25,https://github.com/ipa320/cob_environment_perception,cob_environment_perception,Repositories,{'message': 'no data'},{'FFTcode': '************ table lookup to compute logs of powers of 2 **************************************'},
REPO_MD26,https://github.com/PR2/pr2_plugs,pr2_plugs,Repositories,{'message': 'no data'},{'generalized_hough': 'or founds (not far than distance between two power holes / 3)index of the closest feature is in'},
REPO_MD26,https://github.com/PR2/pr2_plugs,pr2_plugs,Repositories,{'message': 'no data'},"{'outlet_detector': ' reference frame first, calculate homography power left power right ground hole            prin'}",
REPO_MD26,https://github.com/PR2/pr2_plugs,pr2_plugs,Repositories,{'message': 'no data'},"{'outlet_tuple': 'mm, the distance from the ground hole to the power holesvoid calc_image_homography(const CvPoin'}",
REPO_MD27,https://github.com/ipa320/srs_public,srs_public,Repositories,{'message': 'no data'},"{'but_materialtest1': 't part with triangles, and then axes (in red/green/blue). BaseWhiteNoLighting is the name of a '}",
REPO_MD27,https://github.com/ipa320/srs_public,srs_public,Repositories,{'message': 'no data'},"{'but_projection': 't part with triangles, and then axes (in red/green/blue). BaseWhiteNoLighting is the name of a '}",
REPO_MD27,https://github.com/ipa320/srs_public,srs_public,Repositories,{'message': 'no data'},"{'but_camcast': 't part with triangles, and then axes (in red/green/blue). BaseWhiteNoLighting is the name of a '}",
REPO_MD28,https://github.com/sigproc/qbo_sigproc,qbo_sigproc,Repositories,{'message': 'no data'},{'seg_color_fast': 'rowsGo through all the columnsassume red is 2green is 1blue is 0Display the image using OpenCVC'},
REPO_MD29,https://github.com/introlab/rtabmap_ros,rtabmap_ros,Repositories,{'message': 'no data'},{'WifiSignalSubNode': ' (which varies from -30 (near) to -80 (far)) green yellow gray Hz'},
REPO_MD30,https://github.com/PR2/pr2_robot,pr2_robot,Repositories,{'message': 'no data'},{'run_stop_auto_restart': ' enable power reset motors give motors time to detect powe'},
REPO_MD31,https://github.com/pal-robotics/perception_blort,perception_blort,Repositories,{'message': 'no data'},{'Recognizer3D': 'LLPATH object contours & features drawn with green pose estimage object contours drawn with pur'},
REPO_MD31,https://github.com/pal-robotics/perception_blort,perception_blort,Repositories,{'message': 'no data'},{'Predictor': '); \t\t} Tukey estimator TODO evaluate optimal power of estimator (accuracy / robustness) \t\tsigma'},
REPO_MD32,https://github.com/Pitt-RAS/iarc7_vision,iarc7_vision,Repositories,{'message': 'no data'},"{'RoombaBlobDetector': 'on Fill out results True if the patch is red/green, false otherwise True if the patch is red/gr'}",
REPO_MD33,https://github.com/robotics-upo/upo_robot_navigation,upo_robot_navigation,Repositories,{'message': 'no data'},"{'capture': ' = 10mTransform pointCloud2 to pointCloudbluegreenredprintf(""\\naddObstacles!!! points.size: %u\\'}",
REPO_MD33,https://github.com/robotics-upo/upo_robot_navigation,upo_robot_navigation,Repositories,{'message': 'no data'},"{'Yield': '::cout << ""red: "" << (unsigned int)red << "", green: "" << (unsigned int)green << "", blue: "" << ('}",
REPO_MD34,https://github.com/ridgeback/ridgeback_robot,ridgeback_robot,Repositories,{'message': 'no data'},{'ridgeback_hardware': ' Checks to see if power flag has been reset for each driver Process '},
REPO_MD35,https://github.com/AIS-Bonn/nimbro_network,nimbro_network,Repositories,{'message': 'no data'},{'qcustomplot': 'cond char as indicator for beautiful decimal powers: interpret third char as indicator for dot '},
REPO_MD36,https://github.com/dxydas/ros-bioloid,ros-bioloid,Repositories,{'message': 'no data'},{'qcustomplot': 'cond char as indicator for beautiful decimal powers: interpret third char as indicator for dot '},
REPO_MD37,https://github.com/lucasw/imgui_ros,imgui_ros,Repositories,{'message': 'no data'},"{'bag_console': 'cs in columns Color code according to level: green, white, yellow, red, dark red (or black on r'}",
REPO_MD37,https://github.com/lucasw/imgui_ros,imgui_ros,Repositories,{'message': 'no data'},{'image': 'ader to copy the red channel to the blue and green - there is no longer a GL_LUMINANCE https://'},
REPO_MD38,https://github.com/mavlink/mavros,mavros,Repositories,{'message': 'no data'},"{'enum_to_string': ' and going down. System just initialized its power-down sequence, will shut down now. System is'}",
REPO_MD38,https://github.com/mavlink/mavros,mavros,Repositories,{'message': 'no data'},"{'sys_status': 'g.outl(""default:"")     cog.outl(""\\tbatt_msg->power_supply_technology = BatteryMsg::POWER_SUPPLY'}",
REPO_MD39,https://github.com/ros-perception/image_pipeline,image_pipeline,Repositories,{'message': 'no data'},{'edge_aware': 'step     b g b line_step2    g r g red pixel green pixel blue; Bayer         0 1 2         0   '},
REPO_MD40,https://github.com/UTNuclearRoboticsPublic/jog_arm,jog_arm,Repositories,{'message': 'no data'},{'jog_arm_server': 'ed thresholds. I scaled exponentially (cubic power) so velocity drops off quickly after the thr'},
REPO_MD41,https://github.com/CalPolyRobotics/IGVC-ROS,IGVC-ROS,Repositories,{'message': 'no data'},{'occupancy_grid_plugin': ' plugin Standard gray map palette values red green blue alpha illegal positive values in green '},
REPO_MD42,https://github.com/RoboJackets/roboracing-software,roboracing-software,Repositories,{'message': 'no data'},"{'cone_bottom_detector': 'f the Orange Color Thresholding Dilate, make green overlay, and resize image to initial dimensi'}",
REPO_MD42,https://github.com/RoboJackets/roboracing-software,roboracing-software,Repositories,{'message': 'no data'},"{'startlight_watcher': 'eeing red, change this formula. red - blue - green@note: if you have trouble seeing green, chan'}",
REPO_MD43,https://github.com/IGVC-IITK/computer_vision,computer_vision,Repositories,{'message': 'no data'},{'gslicr_ros': 'e colour values for each superpixel black to green for avoiding divide-by-zero error average-re'},
REPO_MD43,https://github.com/IGVC-IITK/computer_vision,computer_vision,Repositories,{'message': 'no data'},"{'rgb-gen': '<<(int)(red_sum[i-1]/count[i-1])<<"" ""<<(int)(green_sum[i-1]/count[i-1])<<"" ""<<(int)(blue_sum[i-'}",
REPO_MD44,https://github.com/kucars/haptic_teleoperation,haptic_teleoperation,Repositories,{'message': 'no data'},"{'SlaveController': 'stop(0,0) > -1.0 && !lastPositionUpdate) && (battery_per > 30) // this code has been used when cr'}",
REPO_MD45,https://github.com/utexas-bwi/segbot,segbot,Repositories,{'message': 'no data'},"{'battery_diagnostics': 'egator config file expectsDoes there exist a battery profile? If so, acquire the parameters it de'}",
REPO_MD45,https://github.com/utexas-bwi/segbot,segbot,Repositories,{'message': 'no data'},{'inv_mpu': 's appear on the primary.  1 if device in low-power accel-only mode.  1 if interrupts are only t'},
REPO_MD46,https://github.com/RoboSherlock/robosherlock,robosherlock,Repositories,{'message': 'no data'},"{'ObjectIdentityResolution': '.dae"";add color if we have somedefault color green Don\'t forget to set the alpha! ignore object'}",
REPO_MD47,https://github.com/youbot/youbot-ros-pkg,youbot-ros-pkg,Repositories,{'message': 'no data'},{'youbot_battery_monitor': 'ite IP addresses to the lcd display retrieve battery information call the beep command dashboard '},
REPO_MD47,https://github.com/youbot/youbot-ros-pkg,youbot-ros-pkg,Repositories,{'message': 'no data'},"{'PoseEstimation6DNode': 'oud3D;\ttmpModel->readFromTxtFile(""test_model_green_1.txt"");\tmodelDataBase.push_back(tmpModel);\t'}",
REPO_MD47,https://github.com/youbot/youbot-ros-pkg,youbot-ros-pkg,Repositories,{'message': 'no data'},{'EuclideanClustering': 'et_cast<unsigned char*>(&r);\t\t\tunsigned char green= *reinterpret_cast<unsigned char*>(&g);\t\t\tun'},
REPO_MD47,https://github.com/youbot/youbot-ros-pkg,youbot-ros-pkg,Repositories,{'message': 'no data'},{'xxmatrix': '  take the inverse of the source if negative power  and copy the workmatrix to the destination '},
REPO_MD48,https://github.com/PR2/pr2_controllers,pr2_controllers,Repositories,{'message': 'no data'},"{'joint_spline_trajectory_controller': ""g on packages that aren't mature yet. create powers of time: Gets all of the joints Ensures tha""}",
REPO_MD48,https://github.com/PR2/pr2_controllers,pr2_controllers,Repositories,{'message': 'no data'},"{'joint_trajectory_action_controller': ""g on packages that aren't mature yet. create powers of time: Gets all of the joints Ensures tha""}",
REPO_MD49,https://github.com/ros-planning/moveit,moveit,Repositories,{'message': 'no data'},{'simulation_widget': 'elements in black Show the added elements in green Position of the first transmission element i'},
REPO_MD49,https://github.com/ros-planning/moveit,moveit,Repositories,{'message': 'no data'},{'chomp_trajectory': ' the memory: now copy the trajectories over: powers of the time duration calculate the spline c'},
REPO_MD49,https://github.com/ros-planning/moveit,moveit,Repositories,{'message': 'no data'},{'collision_check_thread': 'ed thresholds. I scaled exponentially (cubic power) so velocity drops off quickly after the thr'},
REPO_MD50,https://github.com/AcutronicRobotics/moveit2,moveit2,Repositories,{'message': 'no data'},{'simulation_widget': 'elements in black Show the added elements in green Position of the first transmission element i'},
REPO_MD50,https://github.com/AcutronicRobotics/moveit2,moveit2,Repositories,{'message': 'no data'},{'chomp_trajectory': ' the memory: now copy the trajectories over: powers of the time duration calculate the spline c'},
REPO_MD51,https://github.com/felixendres/rgbdslam_v2,rgbdslam_v2,Repositories,{'message': 'no data'},{'glviewer': 'are)No segment: original colorright segment: greenwrong segment: redsegment_to_optimize == 0bla'},
REPO_MD51,https://github.com/felixendres/rgbdslam_v2,rgbdslam_v2,Repositories,{'message': 'no data'},"{'graph_mgr_io': ""n't visualize, if nobody's lookingred outliergreen inlier, newer endpointyellow inlier, earlier""}",
REPO_MD52,https://github.com/pandora-auth-ros-pkg/pandora_ros_pkgs,pandora_ros_pkgs,Repositories,{'message': 'no data'},{'color_angles_test': 'r testing Construct a blue image Construct a green image Construct a red image/ Tests ColorAngl'},
REPO_MD53,https://github.com/pandora-auth-ros-pkg/pandora_ros_pkgs,pandora_ros_pkgs,Repositories,{'message': 'no data'},"{'hard_obstacle_detector': '************** If value is negative, make it green for visualizationcv::imshow(title, scaledIma'}",
REPO_MD54,https://github.com/pandora-auth-ros-pkg/pandora_ros_pkgs,pandora_ros_pkgs,Repositories,{'message': 'no data'},{'xmega_hardware_interface': '*********************** connect and register power supply interface connect and register range '},
REPO_MD55,https://github.com/pandora-auth-ros-pkg/pandora_ros_pkgs,pandora_ros_pkgs,Repositories,{'message': 'no data'},"{'xmega_serial_interface': ""up ' ' after sensor id ' ' after sensor type battery, not i2c sensor encoder, not i2c sensor ' ' ""}",
REPO_MD56,https://github.com/pandora-auth-ros-pkg/pandora_ros_pkgs,pandora_ros_pkgs,Repositories,{'message': 'no data'},{'arm_hardware_interface': ' range sensor interface connect and register battery interface connect and register joint state i'},
REPO_MD57,https://github.com/pandora-auth-ros-pkg/pandora_ros_pkgs,pandora_ros_pkgs,Repositories,{'message': 'no data'},{'gio_gazebo_interface': 'egister the co2 sensor interface Electronics battery sensor Motors battery sensor Connect and reg'},
REPO_MD52,https://github.com/pandora-auth-ros-pkg/pandora_ros_pkgs,pandora_ros_pkgs,Repositories,{'message': 'no data'},{'pandora_co2_plugin': ' count Decrement count co2 is represented by green namespace gazebo'},
REPO_MD53,https://github.com/jhu-lcsr/sp_segmenter,sp_segmenter,Repositories,{'message': 'no data'},"{'WKmeans': 'cerr<<""Iter-""<<cur_counter<<"" Energy: ""<<cur_energy<<std::endl;Sparse Data Kmeans///////////////'}",
REPO_MD54,https://github.com/duckietown/Softwareduck,Softwareduck,Repositories,{'message': 'no data'},{'scene_segmentation': ' Graph-based Image Segmentation wrapper draw green rectangles params for segmentation Efficient'},
REPO_MD55,https://github.com/duckietown/Softwareduck,Softwareduck,Repositories,{'message': 'no data'},{'basic_pts_and_lines': 'idth %EndTag(SCALE)% %Tag(COLOR)% Points are green Line strip is blue Line list is red %EndTag('},
REPO_MD56,https://github.com/duckietown/Softwareduck,Softwareduck,Repositories,{'message': 'no data'},{'Collections': 'www.gnu.org/licenses/>. red green blue draw outline in black Calculate eigenva'},
