<<<<<<< HEAD
ID,URL,Repo Name,Collection,Commit Info
C0,https://github.com/aau-ros/aau_multi_robot,aau_multi_robot,Commits,{'af8a517e1cdaeb98f8f1aac31ef6ca5d4b8434cc': 'added new strategy which checks the battery state'}
C1,https://github.com/aau-ros/aau_multi_robot,aau_multi_robot,Commits,{'b3a4db1f42026342cf599cc8930b45be445f193e': 'Robots now drive back to home when energy level is at 50%.\nWhen the energy level is ag'}
C2,https://github.com/aau-ros/aau_multi_robot,aau_multi_robot,Commits,{'ba22c0f52238381061c5e2d28e707dafc279f1f0': 'add a function that calculates the the energy consumption\nand the traveled distance so far'}
C3,https://github.com/aau-ros/aau_multi_robot,aau_multi_robot,Commits,"{'6a3a3785cac2e64be0bd0f88d08ff258435188f7': 'vert ""add a function that calculates the the energy consumption""\n\nThis reverts commit ba22c0f522'}"
C4,https://github.com/aau-ros/aau_multi_robot,aau_multi_robot,Commits,"{'ced213515b881046df3ec8e04000c20072a15e75': 'Revert ""Robots now drive back to home when energy level is at 50%.""\n\nThis reverts commit b3a4d'}"
C5,https://github.com/aau-ros/aau_multi_robot,aau_multi_robot,Commits,"{'22648d3833fdae16fe5f7315fa203e8392695a87': 'Revert ""Robots now drive back to home when energy level is at 50%.""\n\nThis reverts commit b3a4d'}"
C6,https://github.com/aau-ros/aau_multi_robot,aau_multi_robot,Commits,"{'297421c79ab6504526aecd36fb80679c2202f8f2': 'Revert ""added new strategy which checks the battery state""\n\nThis reverts commit af8a517e1cdaeb9'}"
C7,https://github.com/aau-ros/aau_multi_robot,aau_multi_robot,Commits,"{'a4acf91fb601faa27e1a8595da073443d445fd56': 'Revert ""added new strategy which checks the battery state""\n\nThis reverts commit af8a517e1cdaeb9'}"
C10,https://github.com/AutonomyLab/create_autonomy,create_autonomy,Commits,{'46bfbdf19fb33e73a1426815d2f7aece8a621c65': 'Add battery info support'}
C12,https://github.com/AutonomyLab/create_autonomy,create_autonomy,Commits,{'1ffa09c69b198074a3cf15dbe012370226426004': 'Compute and publish battery charge ratio'}
C13,https://github.com/AutonomyLab/create_autonomy,create_autonomy,Commits,{'d7bffabe38a15935526a0a31380497e1d317e68d': 'utonomyLab/charge-ratio\n\nCompute and publish battery charge ratio'}
C23,https://github.com/autowarefoundation/autoware,autoware,Commits,{'56c9e1786e649bcb15649c98af03404019491067': '\r\n* Add bettery charge [%] topic -> /vehicle/battery\r\n\r\nSigned-off-by: Akihito Ohsato <aohsato@g'}
C24,https://github.com/autowarefoundation/autoware,autoware,Commits,{'ddc9eb90a73fe242f3711406c4c5a57f744837d1': 'add battery charging state (#2256)\n\nSigned-off-by: Azum'}
C26,https://github.com/bayesian-object-tracking/dbot_ros,dbot_ros,Commits,{'e16d792db8121b2a03b59a07ae98556432a2028b': 'Updated tracked in object.yaml to impact_battery'}
C27,https://github.com/BCLab-UNM/SwarmBaseCode-ROS,SwarmBaseCode-ROS,Commits,"{'63167eef4d8e8194aad89b1918dcb702eaa4d183': 'eeded for Swarmathon\n- Deleted rover_onboard_battery, _health_status, _mapping, and _path_planni'}"
C39,https://github.com/BCLab-UNM/SwarmBaseCode-ROS,SwarmBaseCode-ROS,Commits,{'6eaf5ccb12839f2960284ca4131b34ae13cc2e7c': ' Integral constant a little to help with low battery state and attempting to aline to a target b'}
C41,https://github.com/chrisl8/ArloBot,ArloBot,Commits,{'a1ce8e830447b6166c04e646a2d1ee9712e0d29e': 'Added arlobot_safety package to monitor AC power on laptop and shut down motors if the ArloBo'}
C43,https://github.com/chrisl8/ArloBot,ArloBot,Commits,{'0378a457b532a717428bf84c3d61f39b33c5f446': 'messsages from arlobot_safety and add laptop battery level monitoring.'}
C44,https://github.com/chrisl8/ArloBot,ArloBot,Commits,{'58c3efc2808e01e84ad2d30d5eac5f7ff8f15f36': 'New files for replacing main power switch with relay.'}
C45,https://github.com/chrisl8/ArloBot,ArloBot,Commits,{'8b8441cc81133b4d092396d148984a8dcf812777': 'Rewrite Node (web interface) laptop battery check code to be faster and cause less load'}
C49,https://github.com/chrisl8/ArloBot,ArloBot,Commits,"{'2c9258ee9108c8e301e9c47f96b21c03c066167c': ' issues with no LED, no quickstart board, no battery voltage monitor configuration.'}"
C52,https://github.com/CopterExpress/clever,clever,Commits,{'cf4c5a120bd2188a7dc7b4f2294dd913f548ba5c': 'Create powerConnection.md'}
C59,https://github.com/CopterExpress/clever,clever,Commits,{'bcd88d6d4d515c1bdf14508ddcb4315e68021903': 'rc: fix low battery notification throttling'}
C60,https://github.com/CopterExpress/clever,clever,Commits,"{'cd34277c64539b8d1f7a07e7276e5c1b68a376c3': 'mean soldering iron?)\n- l.82 ""disconnect the power and move yellow jumper to the other tweezer""'}"
C61,https://github.com/CopterExpress/clever,clever,Commits,{'67392a8f1e1037dac3a13598fa975dc6e0be9bb7': 'selfcheck.py: add battery voltage checks'}
C73,https://github.com/craftit/DogBotSoftware,DogBotSoftware,Commits,{'5e98c48a1dd2eb10b808cb621e3c6681e5b206d7': 'Update for 6 cell battery voltages.'}
C78,https://github.com/edinferno/edinferno,edinferno,Commits,"{'1ecd3f6dbbf81fbb0b603e378e3465c169853fe4': 'er class, publishes if Nao is un/plugged and battery charge'}"
C82,https://github.com/elpimous/Neo_robot,Neo_robot,Commits,{'5b72116b98ebd99ae72cd7fb7ee8afa061992dd2': 'A package with energy vocal alerts.'}
C94,https://github.com/ethz-asl/asctec_mav_framework,asctec_mav_framework,Commits,{'d49f0e9eacfad7e1b7af981ae4f7a9c82affb9e7': 'made battery warning voltage adjustable'}
C96,https://github.com/ethz-asl/asctec_mav_framework,asctec_mav_framework,Commits,{'4a4609040daccccffd8c5fa9f2f3041aa63b2aeb': 'added battery warnings to rosout'}
C98,https://github.com/ethz-asl/asctec_mav_framework,asctec_mav_framework,Commits,{'7e7550afff079f2e072e8800112deca7fc53dfeb': 'adapted buzzer and main to have the battery warning voltage adjustable'}
C99,https://github.com/evocortex/optris_drivers,optris_drivers,Commits,"{'0c80437dea6fabd3bbf6a9f875486332802892bb': 'ed features:\n- box, flag, chip temperature\n- energy and temperature mode\n- force flag trigger'}"
C100,https://github.com/fetchrobotics/fetch_robots,fetch_robots,Commits,{'b1445293704b1b026d377041b2d24c7f6a36e66e': 'Ensure robots power off safely when instructed to\n\nAlso:\n- Fix r'}
C101,https://github.com/fetchrobotics/fetch_robots,fetch_robots,Commits,{'4432ece5640efaefe03d56c2874fe0c186b50944': 'Update wifi power management disabling'}
C109,https://github.com/g/grizzly,grizzly,Commits,{'c8a611a5889afc9a0e4b22a664907bfa9b2888ed': 'energy changed to 25 hz'}
C110,https://github.com/g/grizzly,grizzly,Commits,"{'b5eae08150cebeb5a8bf17850d2ff308b772275e': 'Added dead reckoning and energy estimation nodes, fixed up fan control, faul'}"
C111,https://github.com/g/grizzly,grizzly,Commits,{'a3de858670acda1e548105f74737ee9a9e5cb992': 're-route energy reading to mcu/energy'}
C112,https://github.com/g/grizzly,grizzly,Commits,{'81646772a66828703efa2c0a94c9c6f255fd4084': 'energy node changed to only use user voltage at sta'}
C113,https://github.com/g/grizzly,grizzly,Commits,{'6a61878288b3dddc50cf0ef68a5ca3970cde99dd': 'Reduce frequency of energy publication'}
C118,https://github.com/inomuh/evapi_ros,evapi_ros,Commits,{'71847c464ae192c1c52e8bbb234a40e9a9359187': 'add voltage and battery msgs'}
C119,https://github.com/inomuh/evapi_ros,evapi_ros,Commits,{'a355cd6a4820df1c81b341c689da7371b4dc1f8a': 'add battery sensor'}
C120,https://bitbucket.org/internationalauto/auto_guidance,auto_guidance,Commits,"{'2ae3fd3b1ba3ee526fbb90467c44b8513087046d': ' follow one path\n\nToDo:\n- error_codes, stop, battery_level\n- several paths'}"
C121,https://github.com/ipa320/cob_control,cob_control,Commits,{'b5a5062bac54847d28ab89a64474e4683a0ecec0': 'the new powerchain implementation with slight modification'}
C124,https://github.com/ipa320/cob_environment_perception,cob_environment_perception,Commits,{'e2936eec9c64a3d67ba25c60ae53b56d19b0f002': 'introduced energy factor'}
C125,https://github.com/ipa320/cob_environment_perception,cob_environment_perception,Commits,{'fb82f1f58f70466b74ef2f1f4bd2415a17a81e2c': 'changed energy_order'}
C134,https://github.com/ipa320/cob_command_tools,cob_command_tools,Commits,{'fa2e5480793e09b426331c16aa00a22c60568271': 'enhanced battery monitoring'}
C135,https://github.com/ipa320/cob_command_tools,cob_command_tools,Commits,{'d91bae8dc2819e1a465cd1b1cf52b6ecb22ff6b3': 'cob_battery for dashboard'}
