ID,URL,Repo Name,Collection,MD Contents,C++/C Contents,Python Contents,SA?,Battery MD,Battery C/C++,Battery Python,Energy MD,Energy C/C++,Energy Python,Power MD,Power C/C++,Power Python,Sustain MD,Sustain C/C++,Sustain Python,Green MD,Green C/C++,Green Python
REPO6,https://github.com/markusk/minibot,minibot,Repositories,{'message': 'no data'},{'message': 'no data'},{'lcd_test': '-Battery with 3 x 3.3Volt = 9.9 Volt (empty battery) 3S LiPo-Battery with 3 x 4.2Volt = 12.6 Vol'},,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
REPO8,https://github.com/markusk/minibot,minibot,Repositories,{'message': 'no data'},{'message': 'no data'},{'minibot': 'e.########## Threads##### read AD converter (battery voltage) use channel 0 on IC 2.73 V = 12.32 '},,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
REPO9,https://github.com/markusk/minibot,minibot,Repositories,{'message': 'no data'},{'message': 'no data'},{'battery': ' Digital converter object read AD converter (battery voltage) use channel 0 on IC 13.44 Volt batt'},,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
REPO13,https://github.com/MalcolmMielle/Auto-Complete-Graph,Auto-Complete-Graph,Repositories,{'message': 'no data'},{'message': 'no data'},"{'t_test': 'cs with R"" by Peter Dalgaard daily intake of energy in kJ for 11 women one sample t-test null hy'}",,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
REPO14,https://github.com/Bichette09/imaginarium,imaginarium,Repositories,{'message': 'no data'},{'message': 'no data'},{'settings_store_client': 's will listen controller.html page to manage power status'},,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
REPO15,https://github.com/Bichette09/imaginarium,imaginarium,Repositories,{'message': 'no data'},{'message': 'no data'},{'gyro': '8 define MPU address wake up device and init power management PWR_MGMT_1 who am i configure gyr'},,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
REPO16,https://github.com/Bichette09/imaginarium,imaginarium,Repositories,{'message': 'no data'},{'message': 'no data'},"{'actuatorESP32': 'TOP if we are about to close the node, or if power is disabled, emit neutral point rospy.logwar'}",,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
REPO17,https://github.com/Bichette09/imaginarium,imaginarium,Repositories,{'message': 'no data'},{'message': 'no data'},"{'actuator': 'TOP if we are about to close the node, or if power is disabled, emit neutral point rospy.logwar'}",,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
REPO18,https://bitbucket.org/udg_cirs/cola2_core,cola2_core,Repositories,{'message': 'no data'},{'message': 'no data'},"{'sim_internal_sensors': ' received in X seconds, abort mission Reduce battery level Publish diagnostic message'}",,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
REPO19,https://bitbucket.org/udg_cirs/cola2_core,cola2_core,Repositories,{'message': 'no data'},{'message': 'no data'},{'vehicle_status_parser': 'or last nav data Create Publisher Initialize battery data Which value do I put? This should not b'},,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
REPO40,https://github.com/uf-mil-archive/PropaGator,PropaGator,Repositories,{'message': 'no data'},{'message': 'no data'},{'boat_class': ' and avoid being at the 0/2*PI boundary on a powerup 1.4 rad/s~22 rpm 205/1023 is about 20% tor'},,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
REPO41,https://github.com/uf-mil-archive/PropaGator,PropaGator,Repositories,{'message': 'no data'},{'message': 'no data'},{'dynamixel_io': 'tion modify EEPROM data which persists after power cycle ######################################'},,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
REPO44,https://github.com/uf-mil-archive/PropaGator,PropaGator,Repositories,{'message': 'no data'},{'message': 'no data'},{'azimuth_drive': 'trust (Not doing any nonlinear modelling for power cost) f in x f in y Moment about Z Early Che'},,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
REPO50,https://github.com/ipa320/cob_command_tools,cob_command_tools,Repositories,{'message': 'no data'},{'message': 'no data'},{'battery_monitor': 'ions and limitations under the License. % of battery level % of battery level % of battery level '},,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
REPO57,https://github.com/pbouffard/ccny-ros-pkg-pbouffard,ccny-ros-pkg-pbouffard,Repositories,{'message': 'no data'},{'message': 'no data'},{'monitor': '://en.wikipedia.org/wiki/Lithium-ion_polymer_battery Maximum Voltage Warning Voltage Minimum Volt'},,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
REPO87,https://github.com/mavlink/mavros,mavros,Repositories,{'message': 'no data'},"{'enum_to_string': ' and going down. System just initialized its power-down sequence, will shut down now. System is'}",{'message': 'no data'},,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
REPO88,https://github.com/mavlink/mavros,mavros,Repositories,{'message': 'no data'},"{'sys_status': 'g.outl(""default:"") cog.outl(""\\tbatt_msg->power_supply_technology = BatteryMsg::POWER_SUPPLY'}",{'message': 'no data'},,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
